p1x,p1y,p1z,p1phi,p1theta,p2x,p2y,p2z,p2phi,p2theta,current,orientation,constrained
1.5993129459377895e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5990327348717901e+00,2.6166447165256301e-02,5.8284304952304789e-03,9.3750000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,0
1.5985763480769632e+00,0.0000000000000000e+00,3.6945476239554249e-02,0.0000000000000000e+00,3.6000000000000001e+00,1.5978465663417527e+00,2.6147036795791410e-02,4.2765502471519841e-02,9.3750000000000000e-01,3.6000000000000001e+00,0.0000000000000000e+00,1,0
1.5963468637151221e+00,0.0000000000000000e+00,7.3755506830319603e-02,0.0000000000000000e+00,7.2000000000000002e+00,1.5951883493073524e+00,2.6103537939221724e-02,7.9568013374126653e-02,9.3750000000000000e-01,7.2000000000000002e+00,0.0000000000000000e+00,1,0
1.5925899957655500e+00,0.0000000000000000e+00,1.1024567509976534e-01,0.0000000000000000e+00,1.0799999999999999e+01,1.5910319775114752e+00,2.6035523394788585e-02,1.1607656833221290e-01,9.3750000000000000e-01,1.0799999999999999e+01,0.0000000000000000e+00,1,0
1.5873070201750477e+00,0.0000000000000000e+00,1.4618563498642106e-01,0.0000000000000000e+00,1.4400000000000000e+01,1.5853625004041176e+00,2.5942748512855857e-02,1.5207887034924253e-01,9.3750000000000000e-01,1.4400000000000000e+01,0.0000000000000000e+00,1,0
1.5805628246468564e+00,0.0000000000000000e+00,1.8135980160979387e-01,0.0000000000000000e+00,1.8000000000000000e+01,1.5782173174850833e+00,2.5825825295926221e-02,1.8735071175862733e-01,9.3750000000000000e-01,1.8000000000000000e+01,0.0000000000000000e+00,1,0
1.5724609578432387e+00,0.0000000000000000e+00,2.1563780283885117e-01,0.0000000000000000e+00,2.1599999999999998e+01,1.5696841579041412e+00,2.5686189336975494e-02,2.2172731582794275e-01,9.3750000000000000e-01,2.1599999999999998e+01,0.0000000000000000e+00,1,0
1.5630838727018079e+00,0.0000000000000000e+00,2.4899241396280311e-01,0.0000000000000000e+00,2.5200000000000003e+01,1.5598550551223054e+00,2.5525346664393558e-02,2.5514350209595926e-01,9.3750000000000000e-01,2.5200000000000003e+01,0.0000000000000000e+00,1,0
1.5524518595156562e+00,0.0000000000000000e+00,2.8144222319931778e-01,0.0000000000000000e+00,2.8800000000000001e+01,1.5487780318853237e+00,2.5344083118652553e-02,2.8760341129642408e-01,9.3750000000000000e-01,2.8800000000000001e+01,0.0000000000000000e+00,1,0
1.5405435852236695e+00,0.0000000000000000e+00,3.1295936608924130e-01,0.0000000000000000e+00,3.2399999999999999e+01,1.5364544966006970e+00,2.5142421746823157e-02,3.1909873015961049e-01,9.3750000000000000e-01,3.2399999999999999e+01,0.0000000000000000e+00,1,0
1.5273691738884634e+00,0.0000000000000000e+00,3.4341705584878029e-01,0.0000000000000000e+00,3.6000000000000000e+01,1.5228919133043066e+00,2.4920484689807346e-02,3.4954059419928007e-01,9.3750000000000000e-01,3.6000000000000000e+01,0.0000000000000000e+00,1,0
1.5130354011459572e+00,0.0000000000000000e+00,3.7262570259685340e-01,0.0000000000000000e+00,3.9600000000000001e+01,1.5081690570931914e+00,2.4679561017159266e-02,3.7876446811116321e-01,9.3750000000000000e-01,3.9600000000000001e+01,0.0000000000000000e+00,1,0
1.4977380012532380e+00,0.0000000000000000e+00,4.0043713356830968e-01,0.0000000000000000e+00,4.3199999999999996e+01,1.4924511127997191e+00,2.4422353800613722e-02,4.0661097755172237e-01,9.3750000000000000e-01,4.3199999999999996e+01,0.0000000000000000e+00,1,0
1.4816686677953623e+00,0.0000000000000000e+00,4.2683885449407916e-01,0.0000000000000000e+00,4.6800000000000004e+01,1.4759258734950504e+00,2.4151936071364736e-02,4.3302339340765272e-01,9.3750000000000000e-01,4.6800000000000004e+01,0.0000000000000000e+00,1,0
1.4648951492466327e+00,0.0000000000000000e+00,4.5196447851145638e-01,0.0000000000000000e+00,5.0400000000000006e+01,1.4586962065055495e+00,2.3869991142331196e-02,4.5808689051928581e-01,9.3750000000000000e-01,5.0400000000000006e+01,0.0000000000000000e+00,1,0
1.4473009444912492e+00,0.0000000000000000e+00,4.7601456929824421e-01,0.0000000000000000e+00,5.4000000000000000e+01,1.4407034646524055e+00,2.3575559315645585e-02,4.8198248023847917e-01,9.3750000000000000e-01,5.4000000000000000e+01,1.5000000000000000e+05,1,0
1.4286234491061116e+00,0.0000000000000000e+00,4.9916114025226566e-01,0.0000000000000000e+00,5.7600000000000001e+01,1.4217312203345376e+00,2.3265098986895886e-02,5.0490256723575966e-01,9.3750000000000000e-01,5.7600000000000001e+01,0.0000000000000000e+00,1,0
1.4085346374694558e+00,0.0000000000000000e+00,5.2152855833951728e-01,0.0000000000000000e+00,6.1200000000000003e+01,1.4014604116579017e+00,2.2933389052091618e-02,5.2701032184086205e-01,9.3750000000000000e-01,6.1200000000000003e+01,-1.5000000000000000e+05,1,0
1.3866439611400296e+00,0.0000000000000000e+00,5.4327346275494426e-01,0.0000000000000000e+00,6.4799999999999997e+01,1.3794791242965869e+00,2.2573688977277157e-02,5.4848101645521607e-01,9.3750000000000000e-01,6.4799999999999997e+01,0.0000000000000000e+00,1,0
1.3623392248004289e+00,0.0000000000000000e+00,5.6466943783504253e-01,0.0000000000000000e+00,6.8400000000000006e+01,1.3551628070497648e+00,2.2175778655232625e-02,5.6956366218629917e-01,9.3750000000000000e-01,6.8400000000000006e+01,0.0000000000000000e+00,1,0
1.3345195927971034e+00,0.0000000000000000e+00,5.8603290079397852e-01,0.0000000000000000e+00,7.2000000000000000e+01,1.3274510518148595e+00,2.1722305650335817e-02,5.9052538226117235e-01,9.3750000000000000e-01,7.2000000000000000e+01,0.0000000000000000e+00,1,0
1.3014312492980202e+00,0.0000000000000000e+00,6.0738374516743976e-01,0.0000000000000000e+00,7.5599999999999994e+01,1.2946920088897582e+00,2.1186239222682132e-02,6.1136931788773397e-01,9.3750000000000000e-01,7.5599999999999994e+01,0.0000000000000000e+00,1,0
1.2608666717832642e+00,0.0000000000000000e+00,6.2791412272886149e-01,0.0000000000000000e+00,7.9200000000000003e+01,1.2547928871418674e+00,2.0533333101132329e-02,6.3136421528705677e-01,9.3750000000000000e-01,7.9200000000000003e+01,0.0000000000000000e+00,1,0
