p1x,p1y,p1z,p1phi,p1theta,p2x,p2y,p2z,p2phi,p2theta,current,orientation,constrained
1.5993126818644983e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5990293241035252e+00,2.6166391351709992e-02,5.7939333317049025e-03,9.3750000000000000e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,0
1.5986045171575323e+00,0.0000000000000000e+00,3.6321624186824171e-02,0.0000000000000000e+00,3.6000000000000001e+00,1.5979512436041696e+00,2.6148749726362941e-02,4.2053515730772317e-02,9.3750000000000000e-01,3.6000000000000001e+00,0.0000000000000000e+00,1,0
1.5964660660203340e+00,0.0000000000000000e+00,7.2424471225397136e-02,0.0000000000000000e+00,7.2000000000000002e+00,1.5954277670149370e+00,2.6107455751946458e-02,7.8016767287076114e-02,9.3750000000000000e-01,7.2000000000000002e+00,0.0000000000000000e+00,1,0
1.5928708727489027e+00,0.0000000000000000e+00,1.0814869580999087e-01,0.0000000000000000e+00,1.0799999999999999e+01,1.5914323869132443e+00,2.6042075663061385e-02,1.1357037863156309e-01,9.3750000000000000e-01,1.0799999999999999e+01,0.0000000000000000e+00,1,0
1.5878096865361637e+00,0.0000000000000000e+00,1.4342169017429574e-01,0.0000000000000000e+00,1.4400000000000000e+01,1.5859722667890894e+00,2.5952726682500264e-02,1.4869188849172946e-01,9.3750000000000000e-01,1.4400000000000000e+01,0.0000000000000000e+00,1,0
1.5813007768672958e+00,0.0000000000000000e+00,1.7824351827885518e-01,0.0000000000000000e+00,1.8000000000000000e+01,1.5790880396101394e+00,2.5840073724982128e-02,1.8341142931572813e-01,9.3750000000000000e-01,1.8000000000000000e+01,0.0000000000000000e+00,1,0
1.5733636157155435e+00,0.0000000000000000e+00,2.1264211615980999e-01,0.0000000000000000e+00,2.1599999999999998e+01,1.5708120148860687e+00,2.5704645500807526e-02,2.1775447346630145e-01,9.3750000000000000e-01,2.1599999999999998e+01,0.0000000000000000e+00,1,0
1.5639755908044315e+00,0.0000000000000000e+00,2.4662645095275826e-01,0.0000000000000000e+00,2.5200000000000003e+01,1.5611161061236380e+00,2.5545982404788024e-02,2.5169973370509025e-01,9.3750000000000000e-01,2.5200000000000003e+01,0.0000000000000000e+00,1,0
1.5530551000698234e+00,0.0000000000000000e+00,2.8016277088776631e-01,0.0000000000000000e+00,2.8800000000000001e+01,1.5498993265819625e+00,2.5362431897759087e-02,2.8517412053070090e-01,9.3750000000000000e-01,2.8800000000000001e+01,0.0000000000000000e+00,1,0
1.5404994957169451e+00,0.0000000000000000e+00,3.1318064736518908e-01,0.0000000000000000e+00,3.2399999999999999e+01,1.5370398414500328e+00,2.5152000284359995e-02,3.1808089906925380e-01,9.3750000000000000e-01,3.2399999999999999e+01,0.0000000000000000e+00,1,0
1.5262598623427115e+00,0.0000000000000000e+00,3.4559496744729351e-01,0.0000000000000000e+00,3.6000000000000000e+01,1.5224829856063131e+00,2.4913793028798412e-02,3.5033509744644237e-01,9.3750000000000000e-01,3.6000000000000000e+01,0.0000000000000000e+00,1,0
1.5103937041186346e+00,0.0000000000000000e+00,3.7732142345454367e-01,0.0000000000000000e+00,3.9600000000000001e+01,1.5062969262299211e+00,2.4648925613485601e-02,3.8187669307252992e-01,9.3750000000000000e-01,3.9600000000000001e+01,0.0000000000000000e+00,1,0
